temperature,humidity,weather
18.87777777777778,0.47,Sunny
18.911111111111115,0.46,Sunny
19.00555555555555,0.46,Sunny
20.04444444444444,0.4,Sunny
21.05,0.4,Sunny
21.18333333333333,0.37,Sunny
20.11666666666666,0.4,Sunny
20.216666666666665,0.36,Sunny
20.0,0.43,Sunny
18.86111111111111,0.56,Sunny
18.666666666666664,0.56,Sunny
18.40555555555555,0.54,Sunny
19.038888888888884,0.47,Sunny
18.97777777777777,0.51,Sunny
19.00555555555555,0.55,Sunny
19.01111111111111,0.53,Sunny
18.93888888888889,0.64,Sunny
19.98333333333333,0.53,Sunny
20.07222222222222,0.62,Sunny
20.07222222222222,0.56,Sunny
20.083333333333336,0.58,Sunny
19.08888888888889,0.63,Sunny
18.73333333333333,0.68,Sunny
20.02777777777778,0.6,Sunny
21.03888888888889,0.55,Sunny
20.738888888888887,0.46,Sunny
22.31666666666667,0.48,Sunny
22.11111111111111,0.5,Sunny
22.73333333333333,0.38,Sunny
22.77777777777778,0.37,Sunny
21.216666666666665,0.41,Sunny
20.18333333333333,0.45,Sunny
18.011111111111113,0.68,Sunny
18.8,0.65,Sunny
21.094444444444445,0.49,Sunny
22.027777777777786,0.49,Sunny
22.82777777777778,0.47,Sunny
22.916666666666668,0.37,Sunny
23.916666666666668,0.37,Sunny
23.911111111111115,0.4,Sunny
23.93333333333333,0.37,Sunny
23.916666666666668,0.32,Sunny
22.82222222222222,0.44,Sunny
21.22777777777777,0.48,Sunny
19.07777777777778,0.51,Sunny
19.1,0.67,Sunny
21.261111111111106,0.57,Sunny
22.41111111111111,0.54,Sunny
22.938888888888894,0.5,Sunny
23.927777777777774,0.47,Sunny
23.96111111111111,0.47,Sunny
23.96111111111111,0.38,Sunny
23.111111111111107,0.42,Sunny
22.82222222222222,0.44,Sunny
21.11111111111111,0.47,Sunny
18.188888888888886,0.58,Sunny
18.83888888888889,0.65,Sunny
21.16111111111111,0.59,Sunny
22.58888888888889,0.53,Sunny
22.89444444444444,0.48,Sunny
24.00555555555555,0.47,Sunny
24.00555555555555,0.35,Sunny
23.97777777777777,0.44,Sunny
25.04444444444444,0.32,Sunny
24.07777777777778,0.35,Sunny
22.38333333333334,0.45,Sunny
21.20555555555556,0.52,Sunny
18.26111111111112,0.62,Sunny
19.05555555555556,0.67,Sunny
20.14444444444445,0.67,Sunny
20.26111111111111,0.62,Sunny
21.20555555555556,0.62,Sunny
21.25555555555556,0.67,Sunny
20.23333333333333,0.66,Sunny
18.75,0.58,Sunny
18.96111111111111,0.6,Sunny
19.994444444444444,0.54,Sunny
21.11111111111111,0.5,Sunny
21.094444444444445,0.46,Sunny
21.17777777777778,0.43,Sunny
21.22777777777777,0.41,Sunny
20.100000000000005,0.45,Sunny
19.02777777777778,0.51,Sunny
18.855555555555554,0.41,Sunny
27.17222222222222,0.56,Sunny
28.911111111111115,0.55,Sunny
30.95555555555556,0.42,Sunny
32.17222222222222,0.38,Sunny
32.12777777777777,0.32,Sunny
31.98333333333333,0.35,Sunny
32.538888888888884,0.38,Sunny
31.97777777777777,0.4,Sunny
32.01111111111111,0.41,Sunny
30.944444444444443,0.39,Sunny
28.572222222222223,0.5,Sunny
27.09444444444444,0.59,Sunny
24.694444444444443,0.65,Sunny
23.033333333333328,0.66,Sunny
23.911111111111115,0.62,Sunny
24.97777777777777,0.51,Sunny
23.8,0.58,Sunny
23.594444444444445,0.53,Sunny
22.50555555555556,0.68,Sunny
18.84444444444445,0.68,Sunny
21.116666666666667,0.68,Sunny
22.50555555555556,0.62,Sunny
23.79444444444444,0.54,Sunny
23.88888888888889,0.51,Sunny
25.83333333333333,0.44,Sunny
25.92777777777778,0.43,Sunny
25.0,0.42,Sunny
24.944444444444446,0.43,Sunny
24.92777777777778,0.45,Sunny
22.800000000000004,0.51,Sunny
18.8,0.69,Sunny
19.683333333333337,0.67,Sunny
23.65555555555555,0.67,Sunny
23.616666666666667,0.6,Sunny
23.81666666666667,0.62,Sunny
22.266666666666666,0.67,Sunny
23.86666666666666,0.54,Sunny
23.88888888888889,0.58,Sunny
22.955555555555552,0.56,Sunny
22.47777777777777,0.58,Sunny
22.20555555555556,0.63,Sunny
22.75,0.57,Sunny
23.79444444444444,0.54,Sunny
23.48333333333333,0.51,Sunny
23.96111111111111,0.53,Sunny
24.95,0.5,Sunny
23.95555555555556,0.53,Sunny
23.95555555555556,0.5,Sunny
23.86111111111111,0.54,Sunny
23.86666666666666,0.62,Sunny
24.966666666666665,0.56,Sunny
26.13333333333334,0.47,Sunny
27.22222222222222,0.44,Sunny
27.73888888888889,0.39,Sunny
27.77777777777778,0.4,Sunny
27.800000000000004,0.39,Sunny
27.872222222222224,0.37,Sunny
26.15555555555555,0.43,Sunny
23.97777777777777,0.54,Sunny
22.57222222222222,0.58,Sunny
21.13888888888889,0.6,Sunny
20.438888888888894,0.67,Sunny
22.73333333333333,0.67,Sunny
26.016666666666666,0.55,Sunny
26.12777777777778,0.58,Sunny
28.838888888888885,0.51,Sunny
29.00555555555555,0.51,Sunny
31.03333333333333,0.45,Sunny
31.13333333333334,0.36,Sunny
31.13333333333334,0.41,Sunny
31.21111111111112,0.41,Sunny
30.022222222222226,0.48,Sunny
27.872222222222224,0.58,Sunny
25.40555555555556,0.66,Sunny
24.95,0.69,Sunny
27.3,0.67,Sunny
27.96666666666667,0.62,Sunny
30.11666666666666,0.5,Sunny
31.04444444444444,0.45,Sunny
31.20555555555556,0.47,Sunny
32.17222222222222,0.42,Sunny
32.544444444444444,0.4,Sunny
31.03888888888889,0.44,Sunny
28.95555555555556,0.54,Sunny
26.47777777777777,0.64,Sunny
25.99444444444445,0.61,Sunny
27.73333333333333,0.55,Sunny
28.79444444444444,0.5,Sunny
29.88333333333334,0.47,Sunny
30.97222222222222,0.45,Sunny
31.916666666666668,0.41,Sunny
32.12777777777777,0.42,Sunny
32.12777777777777,0.39,Sunny
31.08333333333333,0.44,Sunny
31.016666666666666,0.44,Sunny
27.266666666666666,0.64,Sunny
25.455555555555552,0.68,Sunny
23.84444444444445,0.69,Sunny
24.95555555555556,0.62,Sunny
25.92222222222222,0.58,Sunny
24.96111111111112,0.62,Sunny
24.79444444444444,0.58,Sunny
23.75555555555556,0.62,Sunny
22.127777777777776,0.68,Sunny
21.06111111111111,0.68,Sunny
21.06666666666667,0.68,Sunny
27.17777777777778,0.6,Sunny
28.79444444444444,0.55,Sunny
30.86111111111111,0.55,Sunny
32.03888888888889,0.46,Sunny
32.58888888888888,0.5,Sunny
32.638888888888886,0.44,Sunny
32.150000000000006,0.43,Sunny
31.08333333333333,0.45,Sunny
32.077777777777776,0.42,Sunny
30.97222222222222,0.45,Sunny
28.86111111111111,0.55,Sunny
26.411111111111115,0.65,Sunny
21.116666666666667,0.68,Sunny
21.194444444444446,0.68,Sunny
22.25,0.64,Sunny
22.64444444444445,0.63,Sunny
22.80555555555556,0.62,Sunny
22.633333333333333,0.66,Sunny
19.97777777777777,0.64,Sunny
22.17777777777778,0.59,Sunny
22.700000000000003,0.53,Sunny
23.911111111111115,0.48,Sunny
24.95,0.42,Sunny
25.011111111111106,0.39,Sunny
25.016666666666666,0.42,Sunny
24.92777777777778,0.42,Sunny
23.994444444444444,0.44,Sunny
23.81111111111112,0.45,Sunny
21.16111111111111,0.59,Sunny
19.850000000000005,0.65,Sunny
19.93333333333333,0.68,Sunny
21.08333333333333,0.62,Sunny
20.02777777777778,0.61,Sunny
20.077777777777776,0.68,Sunny
20.97777777777777,0.63,Sunny
22.338888888888885,0.63,Sunny
23.73333333333333,0.54,Sunny
22.661111111111115,0.54,Sunny
22.77777777777778,0.57,Sunny
21.13888888888889,0.63,Sunny
19.98888888888889,0.68,Sunny
22.25,0.59,Sunny
22.944444444444443,0.52,Sunny
24.95555555555556,0.47,Sunny
25.05,0.45,Sunny
25.98333333333333,0.41,Sunny
26.13333333333334,0.43,Sunny
25.06666666666667,0.42,Sunny
25.21111111111111,0.38,Sunny
25.04444444444444,0.42,Sunny
22.33333333333333,0.53,Sunny
20.31111111111112,0.6,Sunny
18.172222222222217,0.69,Sunny
22.649999999999995,0.62,Sunny
22.58888888888889,0.63,Sunny
22.03888888888889,0.65,Sunny
22.22222222222222,0.64,Sunny
22.33333333333333,0.65,Sunny
22.82777777777778,0.66,Sunny
23.81666666666667,0.59,Sunny
22.861111111111114,0.62,Sunny
22.700000000000003,0.66,Sunny
22.016666666666666,0.65,Sunny
21.03888888888889,0.64,Sunny
22.2,0.59,Sunny
22.77777777777778,0.51,Sunny
23.88888888888889,0.48,Sunny
24.81111111111111,0.45,Sunny
24.92777777777778,0.45,Sunny
24.92777777777778,0.42,Sunny
24.87222222222222,0.42,Sunny
23.83888888888889,0.45,Sunny
22.17222222222222,0.55,Sunny
18.46111111111112,0.69,Sunny
21.0,0.63,Sunny
22.666666666666668,0.57,Sunny
23.666666666666664,0.51,Sunny
24.93333333333333,0.45,Sunny
24.86111111111111,0.46,Sunny
24.838888888888885,0.42,Sunny
25.0,0.45,Sunny
26.11111111111111,0.39,Sunny
25.91111111111111,0.4,Sunny
23.88888888888889,0.48,Sunny
21.11111111111111,0.59,Sunny
20.91666666666667,0.67,Sunny
21.06111111111111,0.63,Sunny
21.11111111111111,0.63,Sunny
21.21111111111112,0.61,Sunny
20.07222222222222,0.67,Sunny
18.772222222222226,0.53,Sunny
19.899999999999995,0.49,Sunny
19.95,0.45,Sunny
19.105555555555554,0.46,Sunny
18.93333333333333,0.43,Sunny
22.25555555555556,0.68,Sunny
22.68333333333333,0.67,Sunny
24.78888888888889,0.59,Sunny
24.87777777777778,0.64,Sunny
24.88333333333334,0.64,Sunny
24.83333333333333,0.65,Sunny
22.266666666666666,0.59,Sunny
22.5,0.55,Sunny
21.22777777777777,0.62,Sunny
21.105555555555554,0.67,Sunny
19.90555555555555,0.69,Sunny
21.016666666666666,0.64,Sunny
22.03888888888889,0.64,Sunny
22.10555555555556,0.56,Sunny
23.744444444444444,0.55,Sunny
24.59444444444444,0.54,Sunny
22.649999999999995,0.54,Sunny
23.75,0.51,Sunny
23.772222222222226,0.5,Sunny
22.24444444444445,0.59,Sunny
22.10555555555556,0.64,Sunny
22.05,0.65,Sunny
22.17222222222222,0.64,Sunny
23.66111111111111,0.59,Sunny
22.2,0.6,Sunny
21.966666666666672,0.61,Sunny
21.9,0.61,Sunny
22.62222222222222,0.67,Sunny
22.16111111111111,0.68,Sunny
22.2,0.68,Sunny
22.75555555555555,0.66,Sunny
22.188888888888886,0.68,Sunny
22.08333333333333,0.65,Sunny
21.13888888888889,0.68,Sunny
21.994444444444447,0.69,Sunny
22.272222222222226,0.68,Sunny
23.899999999999995,0.61,Sunny
24.97777777777777,0.54,Sunny
24.97777777777777,0.54,Sunny
25.95,0.47,Sunny
24.97777777777777,0.47,Sunny
23.88888888888889,0.5,Sunny
21.25555555555556,0.59,Sunny
25.97222222222222,0.51,Sunny
27.15555555555555,0.45,Sunny
27.73333333333333,0.49,Sunny
28.86666666666666,0.41,Sunny
29.90555555555555,0.38,Sunny
30.80555555555556,0.36,Sunny
31.06666666666667,0.36,Sunny
32.03333333333333,0.34,Sunny
30.86111111111111,0.36,Sunny
30.92777777777778,0.35,Sunny
28.911111111111115,0.44,Sunny
26.33888888888889,0.57,Sunny
25.07222222222222,0.64,Sunny
27.266666666666666,0.56,Sunny
27.81111111111112,0.55,Sunny
28.95555555555556,0.46,Sunny
30.04444444444444,0.37,Sunny
30.9,0.41,Sunny
30.11666666666666,0.37,Sunny
31.08333333333333,0.33,Sunny
30.944444444444443,0.34,Sunny
29.04444444444444,0.43,Sunny
28.89444444444445,0.41,Sunny
27.25,0.51,Sunny
23.81666666666667,0.63,Sunny
22.71111111111111,0.67,Sunny
24.566666666666663,0.64,Sunny
27.061111111111103,0.49,Sunny
27.75555555555555,0.47,Sunny
29.61111111111111,0.42,Sunny
28.96111111111111,0.43,Sunny
30.0,0.35,Sunny
30.98333333333333,0.33,Sunny
31.933333333333337,0.31,Sunny
29.97222222222222,0.37,Sunny
27.27777777777777,0.51,Sunny
27.494444444444444,0.47,Sunny
27.00555555555556,0.55,Sunny
24.09444444444445,0.66,Sunny
23.772222222222226,0.63,Sunny
25.92777777777778,0.59,Sunny
26.15555555555555,0.59,Sunny
27.24444444444445,0.54,Sunny
28.81666666666667,0.44,Sunny
29.827777777777776,0.41,Sunny
30.95,0.36,Sunny
30.97222222222222,0.36,Sunny
30.577777777777783,0.36,Sunny
29.86111111111111,0.36,Sunny
28.661111111111115,0.4,Sunny
24.93333333333333,0.69,Sunny
27.15555555555555,0.56,Sunny
28.661111111111115,0.47,Sunny
28.81666666666667,0.46,Sunny
30.95,0.39,Sunny
29.78333333333333,0.44,Sunny
30.99444444444445,0.41,Sunny
31.016666666666666,0.39,Sunny
30.83888888888889,0.37,Sunny
29.90555555555555,0.41,Sunny
28.79444444444444,0.44,Sunny
24.98888888888889,0.59,Sunny
21.06666666666667,0.69,Sunny
22.45,0.56,Sunny
22.73333333333333,0.58,Sunny
24.88333333333334,0.46,Sunny
25.80555555555556,0.44,Sunny
26.03888888888889,0.4,Sunny
27.127777777777776,0.4,Sunny
26.17777777777778,0.42,Sunny
27.71111111111111,0.35,Sunny
27.15,0.33,Sunny
26.14444444444445,0.37,Sunny
25.022222222222226,0.39,Sunny
25.022222222222226,0.36,Sunny
22.922222222222224,0.48,Sunny
22.08333333333333,0.49,Sunny
21.994444444444447,0.41,Sunny
20.78333333333333,0.5,Sunny
19.283333333333328,0.53,Sunny
20.627777777777776,0.5,Sunny
22.08333333333333,0.43,Sunny
22.71111111111111,0.38,Sunny
22.33333333333333,0.36,Sunny
22.75555555555555,0.38,Sunny
24.88333333333334,0.32,Sunny
23.950000000000003,0.32,Sunny
24.90555555555555,0.31,Sunny
24.422222222222217,0.3,Sunny
23.93888888888889,0.34,Sunny
22.800000000000004,0.34,Sunny
21.25,0.38,Sunny
20.133333333333333,0.42,Sunny
18.88888888888889,0.48,Sunny
18.79444444444444,0.46,Sunny
18.47222222222222,0.51,Sunny
22.066666666666663,0.44,Sunny
22.661111111111115,0.38,Sunny
24.633333333333336,0.34,Sunny
25.95,0.29,Sunny
26.016666666666666,0.29,Sunny
25.90555555555555,0.29,Sunny
27.08333333333333,0.27,Sunny
26.06666666666667,0.28,Sunny
25.97777777777777,0.29,Sunny
25.022222222222226,0.3,Sunny
23.95555555555556,0.34,Sunny
21.51666666666667,0.42,Sunny
20.694444444444443,0.58,Sunny
22.75555555555555,0.51,Sunny
26.06111111111111,0.31,Sunny
25.9,0.32,Sunny
27.2,0.29,Sunny
27.2,0.29,Sunny
27.649999999999995,0.29,Sunny
27.77777777777778,0.28,Sunny
27.85,0.28,Sunny
27.872222222222224,0.29,Sunny
27.77777777777778,0.31,Sunny
27.24444444444445,0.32,Sunny
24.294444444444448,0.44,Sunny
20.161111111111115,0.61,Sunny
18.433333333333337,0.68,Sunny
22.694444444444443,0.58,Sunny
26.04444444444444,0.45,Sunny
27.77777777777778,0.38,Sunny
28.72222222222222,0.37,Sunny
30.0,0.34,Sunny
31.061111111111103,0.32,Sunny
30.92777777777778,0.33,Sunny
32.17222222222222,0.28,Sunny
31.161111111111115,0.29,Sunny
32.03888888888889,0.29,Sunny
31.11111111111111,0.29,Sunny
30.0,0.34,Sunny
26.45555555555556,0.46,Sunny
22.927777777777774,0.57,Sunny
22.350000000000005,0.59,Sunny
20.6,0.68,Sunny
22.22222222222222,0.68,Sunny
25.76111111111112,0.53,Sunny
28.81111111111112,0.37,Sunny
29.95,0.37,Sunny
30.89444444444445,0.35,Sunny
32.22222222222222,0.33,Sunny
32.2,0.33,Sunny
32.68333333333333,0.3,Sunny
32.82777777777778,0.32,Sunny
32.82777777777778,0.32,Sunny
32.80555555555556,0.32,Sunny
32.75555555555555,0.29,Sunny
32.22222222222222,0.33,Sunny
28.216666666666672,0.48,Sunny
25.02777777777778,0.62,Sunny
24.98888888888889,0.68,Sunny
27.80555555555556,0.59,Sunny
30.11666666666666,0.48,Sunny
31.99444444444445,0.36,Sunny
32.77777777777778,0.34,Sunny
33.86666666666666,0.3,Sunny
32.794444444444444,0.37,Sunny
33.794444444444444,0.32,Sunny
33.83888888888888,0.32,Sunny
32.888888888888886,0.33,Sunny
32.800000000000004,0.37,Sunny
31.22777777777777,0.45,Sunny
28.277777777777786,0.56,Sunny
26.13888888888889,0.65,Sunny
27.338888888888885,0.64,Sunny
30.07222222222222,0.51,Sunny
31.011111111111106,0.45,Sunny
32.28888888888889,0.41,Sunny
32.849999999999994,0.34,Sunny
32.794444444444444,0.33,Sunny
33.888888888888886,0.35,Sunny
33.888888888888886,0.3,Sunny
33.861111111111114,0.35,Sunny
32.727777777777774,0.37,Sunny
31.00555555555556,0.44,Sunny
25.46666666666667,0.61,Sunny
26.25,0.64,Sunny
26.544444444444444,0.63,Sunny
28.05555555555556,0.62,Sunny
29.188888888888894,0.58,Sunny
31.23888888888889,0.49,Sunny
32.266666666666666,0.45,Sunny
31.03888888888889,0.48,Sunny
30.08333333333333,0.47,Sunny
28.81111111111112,0.6,Sunny
27.22777777777777,0.65,Sunny
28.938888888888894,0.59,Sunny
31.016666666666666,0.52,Sunny
31.18333333333333,0.51,Sunny
32.22222222222222,0.49,Sunny
32.88333333333333,0.41,Sunny
32.849999999999994,0.4,Sunny
27.68333333333333,0.59,Sunny
28.68333333333333,0.59,Sunny
25.06666666666667,0.69,Sunny
23.899999999999995,0.69,Sunny
27.10555555555556,0.61,Sunny
28.81666666666667,0.47,Sunny
30.822222222222223,0.43,Sunny
31.13333333333334,0.41,Sunny
32.17222222222222,0.42,Sunny
32.23333333333333,0.41,Sunny
32.70555555555556,0.38,Sunny
32.17222222222222,0.39,Sunny
31.922222222222217,0.34,Sunny
32.02777777777778,0.37,Sunny
27.90555555555556,0.53,Sunny
26.48888888888889,0.64,Sunny
27.127777777777776,0.69,Sunny
28.838888888888885,0.6,Sunny
30.02777777777778,0.58,Sunny
31.08333333333333,0.48,Sunny
32.12777777777777,0.43,Sunny
32.550000000000004,0.41,Sunny
32.488888888888894,0.42,Sunny
32.733333333333334,0.4,Sunny
32.488888888888894,0.39,Sunny
32.19444444444444,0.39,Sunny
31.08333333333333,0.44,Sunny
27.366666666666667,0.64,Sunny
26.59444444444445,0.64,Sunny
28.79444444444444,0.47,Sunny
30.00555555555556,0.44,Sunny
31.966666666666672,0.36,Sunny
32.17777777777778,0.34,Sunny
32.80555555555556,0.37,Sunny
32.55555555555556,0.35,Sunny
32.05,0.37,Sunny
32.611111111111114,0.38,Sunny
32.08888888888889,0.38,Sunny
31.061111111111103,0.48,Sunny
28.98333333333333,0.55,Sunny
27.5,0.67,Sunny
26.75555555555556,0.63,Sunny
28.71111111111112,0.56,Sunny
30.95555555555556,0.45,Sunny
31.988888888888887,0.37,Sunny
32.22222222222222,0.34,Sunny
32.77777777777778,0.37,Sunny
32.38333333333334,0.35,Sunny
32.75,0.33,Sunny
32.82222222222222,0.32,Sunny
32.87777777777778,0.32,Sunny
32.23888888888889,0.34,Sunny
32.099999999999994,0.34,Sunny
27.58888888888889,0.58,Sunny
27.01111111111112,0.56,Sunny
24.838888888888885,0.68,Sunny
25.794444444444448,0.66,Sunny
27.73333333333333,0.63,Sunny
30.050000000000004,0.51,Sunny
31.04444444444444,0.47,Sunny
32.24444444444445,0.38,Sunny
32.77777777777778,0.37,Sunny
32.83888888888889,0.35,Sunny
33.83888888888888,0.33,Sunny
32.800000000000004,0.37,Sunny
32.83888888888889,0.35,Sunny
32.70555555555556,0.35,Sunny
29.90555555555555,0.49,Sunny
27.42777777777778,0.59,Sunny
